Object,Time Step,Instance ID,Coordinates,Wireless Delay,Num Users
MonitoredBaseStation_3,93,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,93,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,94,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,94,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,94,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,94,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,95,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,95,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,95,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,95,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,96,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,96,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,96,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,96,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,97,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,97,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,97,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,97,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,98,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,98,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,98,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,98,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,99,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,99,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,99,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,99,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,100,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,100,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,100,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,100,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,101,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,101,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,101,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,101,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,102,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,102,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,102,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,102,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,103,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,103,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,103,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,103,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,104,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,104,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,104,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,104,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,105,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,105,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,105,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,105,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,106,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,106,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,106,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,106,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,107,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,107,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,107,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,107,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,108,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,108,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,108,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,108,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,109,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,109,2,"[250, 0]",5.0,15
